q,N=4q²,A_size=2q,"sumset_in_[1,N]",density,theoretical_asymptote,difference
11,484,22,233,0.481405,0.468951,+0.012454
13,676,26,325,0.480769,0.468951,+0.011818
17,1156,34,525,0.454152,0.468951,-0.014799
19,1444,38,625,0.432825,0.468951,-0.036126
23,2116,46,1015,0.479679,0.468951,+0.010727
29,3364,58,1513,0.449762,0.468951,-0.019189
31,3844,62,1709,0.444589,0.468951,-0.024362
37,5476,74,2535,0.462929,0.468951,-0.006022
41,6724,82,2877,0.427870,0.468951,-0.041081
43,7396,86,3353,0.453353,0.468951,-0.015598
47,8836,94,4125,0.466840,0.468951,-0.002111
53,11236,106,5113,0.455055,0.468951,-0.013896
59,13924,118,6267,0.450086,0.468951,-0.018865
61,14884,122,6925,0.465265,0.468951,-0.003687
67,17956,134,8019,0.446592,0.468951,-0.022360
71,20164,142,9551,0.473666,0.468951,+0.004715
73,21316,146,10019,0.470023,0.468951,+0.001071
79,24964,158,11133,0.445962,0.468951,-0.022989
83,27556,166,12587,0.456779,0.468951,-0.012172
89,31684,178,14487,0.457234,0.468951,-0.011717
97,37636,194,17345,0.460862,0.468951,-0.008089
101,40804,202,18459,0.452382,0.468951,-0.016569
103,42436,206,19817,0.466986,0.468951,-0.001966
107,45796,214,20455,0.446655,0.468951,-0.022297
109,47524,218,22353,0.470352,0.468951,+0.001400
113,51076,226,22995,0.450211,0.468951,-0.018740
127,64516,254,29067,0.450539,0.468951,-0.018412
131,68644,262,31257,0.455349,0.468951,-0.013602
137,75076,274,34845,0.464130,0.468951,-0.004822
139,77284,278,35123,0.454467,0.468951,-0.014485
149,88804,298,40787,0.459292,0.468951,-0.009659
151,91204,302,41909,0.459508,0.468951,-0.009443
157,98596,314,44741,0.453781,0.468951,-0.015170
163,106276,326,47893,0.450647,0.468951,-0.018304
167,111556,334,51853,0.464816,0.468951,-0.004136
173,119716,346,54667,0.456639,0.468951,-0.012312
179,128164,358,58491,0.456376,0.468951,-0.012575
181,131044,362,59495,0.454008,0.468951,-0.014944
191,145924,382,66593,0.456354,0.468951,-0.012597
193,148996,386,67561,0.453442,0.468951,-0.015510
197,155236,394,71383,0.459835,0.468951,-0.009116
199,158404,398,72671,0.458770,0.468951,-0.010181
