q,N=4q²,K (BCs averaged),mean_density,std,min,max,theoretical_asymptote,mean_minus_target
11,484,8,0.470816,0.016894,0.442149,0.495868,0.468951,+0.001865
13,676,8,0.469120,0.017850,0.440828,0.494083,0.468951,+0.000168
17,1156,8,0.471129,0.011111,0.455882,0.491349,0.468951,+0.002177
19,1444,8,0.467711,0.015693,0.448061,0.485457,0.468951,-0.001240
23,2116,8,0.465501,0.012934,0.444707,0.485350,0.468951,-0.003450
29,3364,8,0.467152,0.010209,0.449762,0.484245,0.468951,-0.001799
31,3844,8,0.469368,0.012729,0.452653,0.484391,0.468951,+0.000416
37,5476,8,0.473681,0.008500,0.457268,0.484112,0.468951,+0.004729
41,6724,8,0.463972,0.011243,0.446758,0.476800,0.468951,-0.004979
43,7396,8,0.466418,0.009192,0.451325,0.479448,0.468951,-0.002534
47,8836,8,0.472230,0.007307,0.461974,0.480647,0.468951,+0.003279
53,11236,8,0.471353,0.005828,0.462531,0.480242,0.468951,+0.002402
59,13924,8,0.466165,0.008103,0.455616,0.481758,0.468951,-0.002787
61,14884,8,0.468078,0.008442,0.453104,0.478635,0.468951,-0.000873
67,17956,8,0.466717,0.010556,0.454277,0.479227,0.468951,-0.002234
71,20164,8,0.467225,0.006969,0.455763,0.479220,0.468951,-0.001726
73,21316,8,0.470175,0.007257,0.460546,0.480672,0.468951,+0.001224
79,24964,8,0.469161,0.004710,0.460503,0.474643,0.468951,+0.000209
83,27556,8,0.468387,0.005024,0.462948,0.476920,0.468951,-0.000564
89,31684,8,0.465523,0.005646,0.456382,0.475982,0.468951,-0.003429
97,37636,8,0.469095,0.005377,0.460862,0.475741,0.468951,+0.000144
101,40804,8,0.466780,0.005866,0.458681,0.474512,0.468951,-0.002171
103,42436,8,0.467183,0.005652,0.458078,0.475846,0.468951,-0.001768
107,45796,8,0.468122,0.004307,0.462071,0.473578,0.468951,-0.000829
109,47524,8,0.470418,0.006960,0.456022,0.477233,0.468951,+0.001466
113,51076,8,0.465409,0.005948,0.459883,0.477661,0.468951,-0.003542
127,64516,8,0.468184,0.005143,0.460056,0.476130,0.468951,-0.000767
131,68644,8,0.468504,0.006371,0.458685,0.476109,0.468951,-0.000447
137,75076,8,0.470340,0.002977,0.466541,0.475984,0.468951,+0.001389
139,77284,8,0.470443,0.003962,0.462994,0.475170,0.468951,+0.001492
149,88804,8,0.468806,0.004519,0.460148,0.476217,0.468951,-0.000145
151,91204,8,0.472230,0.003233,0.467567,0.477183,0.468951,+0.003278
157,98596,8,0.470341,0.003623,0.464025,0.474603,0.468951,+0.001390
163,106276,8,0.466009,0.004360,0.461242,0.475263,0.468951,-0.002942
167,111556,8,0.468304,0.004926,0.460674,0.474255,0.468951,-0.000647
173,119716,8,0.469721,0.003896,0.463773,0.476252,0.468951,+0.000770
179,128164,8,0.470330,0.003177,0.465786,0.474634,0.468951,+0.001379
